outgoing_mins_per_month,outgoing_sms_per_month,monthly_mb,use_id,platform,device,manufacturer,Model
16.34,91.76,3114.67,22943,android,GT-N7100,Samsung,GT-N7100
16.34,91.76,3114.67,22943,android,GT-N7100,Samsung,GT-N7100
16.34,91.76,20764.45,22944,android,GT-N7100,Samsung,GT-N7100
16.34,91.76,20764.45,22944,android,GT-N7100,Samsung,GT-N7100
250.87,149.37,519.12,22945,android,HTC Desire 626,HTC,HTC Desire 626
250.87,149.37,519.12,22945,android,HTC Desire 626,HTC,HTC Desire 626
250.87,149.37,519.12,22945,android,HTC Desire 626,HTC,HTC Desire 626
250.87,149.37,519.12,22945,android,HTC Desire 626,HTC,HTC Desire 626
250.87,149.37,519.12,22945,android,HTC Desire 626,HTC,HTC Desire 626
250.87,149.37,519.12,22946,android,HTC Desire 626,HTC,HTC Desire 626
250.87,149.37,519.12,22946,android,HTC Desire 626,HTC,HTC Desire 626
250.87,149.37,519.12,22946,android,HTC Desire 626,HTC,HTC Desire 626
250.87,149.37,519.12,22946,android,HTC Desire 626,HTC,HTC Desire 626
250.87,149.37,519.12,22946,android,HTC Desire 626,HTC,HTC Desire 626
184.73,9.13,4152.88,22949,android,SM-G925F,Samsung,SM-G925F
102.66,79.84,5191.12,22950,android,Moto G (4),Motorola,Moto G (4)
102.66,79.84,5191.12,22950,android,Moto G (4),Motorola,Moto G (4)
102.66,79.84,5191.12,22950,android,Moto G (4),Motorola,Moto G (4)
102.66,79.84,5191.12,22951,android,Moto G (4),Motorola,Moto G (4)
102.66,79.84,5191.12,22951,android,Moto G (4),Motorola,Moto G (4)
102.66,79.84,5191.12,22951,android,Moto G (4),Motorola,Moto G (4)
305.58,159.5,894.58,22955,android,GT-I9300,Samsung,GT-I9300
305.58,159.5,894.58,22955,android,GT-I9300,Samsung,GT-I9300
197.43,115.02,12458.67,22962,android,SM-N910F,Samsung,SM-N910F
197.43,115.02,12458.67,22962,android,SM-N910F,Samsung,SM-N910F
361.19,38.53,2076.45,22963,android,ONE A2003,OnePlus,ONE A2003
361.19,38.53,2076.45,22963,android,ONE A2003,OnePlus,ONE A2003
28.9,29.42,3114.67,22964,android,SM-G900F,Samsung,SM-G900F
302.11,83.14,1557.33,22965,android,GT-I9505,Samsung,GT-I9505
222.32,224.58,3114.67,22966,android,SM-G900F,Samsung,SM-G900F
125.32,138.28,1557.33,22967,android,SM-A500FU,Samsung,SM-A500FU
171.2,153.35,5595.97,22968,android,ONEPLUS A3003,,
171.2,153.35,5595.97,22969,android,ONEPLUS A3003,,
192.58,60.83,3114.67,22970,android,SM-G900F,Samsung,SM-G900F
248.95,52.47,1557.33,22971,android,SM-G903F,Samsung,SM-G903F
248.95,52.47,1557.33,22972,android,SM-G903F,Samsung,SM-G903F
215.92,12.93,1557.33,22974,android,Lenovo K51c78,Lenovo,Lenovo K51c78
215.92,12.93,1557.33,22974,android,Lenovo K51c78,Lenovo,Lenovo K51c78
200.18,89.48,5191.12,22975,android,SM-G900F,Samsung,SM-G900F
360.86,103.92,3114.67,22977,android,GT-I9505,Samsung,GT-I9505
202.63,78.32,1557.33,22978,android,SM-G900F,Samsung,SM-G900F
146.45,48.67,1557.33,22979,android,D5503,Sony,D5503
246.89,22.36,31146.67,22980,android,SM-G900F,Samsung,SM-G900F
61.22,262.47,12458.67,22981,android,X11,Lava,X11
49.71,38.02,15573.33,22982,android,SM-G935F,Samsung,SM-G935F
255.47,14.7,1557.33,22985,android,GT-I9515,Samsung,GT-I9515
146.45,48.67,1557.33,22986,android,D5503,Sony,D5503
0.5,3.32,7469.79,22987,android,HTC Desire 825,HTC,HTC Desire 825
114.59,69.2,1557.33,22988,android,SM-G360F,Samsung,SM-G360F
4.62,22.94,3114.67,22989,android,HUAWEI VNS-L31,Huawei,HUAWEI VNS-L31
376.59,79.84,3114.67,22991,android,SM-G900F,Samsung,SM-G900F
244.93,16.22,20764.45,22992,android,SM-N910F,Samsung,SM-N910F
244.93,16.22,20764.45,22992,android,SM-N910F,Samsung,SM-N910F
95.22,207.59,1557.33,22994,android,SM-A300FU,Samsung,SM-A300FU
95.22,207.59,3114.67,22995,android,SM-A300FU,Samsung,SM-A300FU
123.2,5.83,10158.5,22997,android,GT-I9505,Samsung,GT-I9505
128.99,4.09,1557.33,22998,android,SM-G920F,Samsung,SM-G920F
119.8,26.11,803.24,22999,android,GT-I9506,Samsung,GT-I9506
322.33,86.39,3114.67,23002,android,SM-G920F,Samsung,SM-G920F
